Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
8.085,73.277,20.99,-145
8.099,73.277,20.99,-145
8.113,73.277,20.99,-145
8.127,73.276,20.99,-145
8.141,73.276,20.99,-145
8.155,73.276,20.99,-145
8.169,73.276,20.99,-145
8.183,73.275,20.99,-145
8.197,73.275,20.99,-145
8.211,73.275,20.99,-145
8.225,73.275,20.99,-145
8.239,73.274,20.99,-145
8.253,73.274,20.99,-145
8.267,73.274,20.99,-145
8.281,73.274,20.99,-145
8.295,73.273,20.99,-209
8.309,73.273,20.99,-209
8.323,73.273,20.99,-209
8.337,73.273,20.99,-209
8.351,73.272,20.989,-209
8.365,73.272,20.989,-209
8.379,73.272,20.989,-209
8.393,73.272,20.989,-209
8.407,73.271,20.989,-209
8.421,73.271,20.989,-209
8.435,73.271,20.989,-209
8.449,73.271,20.989,-209
8.463,73.27,20.989,-209
8.477,73.27,20.989,-209
8.491,73.27,20.989,-209
8.505,73.27,20.989,-209
8.519,73.269,20.989,-209
8.533,73.269,20.989,-209
8.547,73.269,20.989,-209
8.561,73.269,20.989,-209
8.575,73.268,20.989,-209
8.589,73.268,20.989,-209
8.603,73.268,20.989,-209
8.616,73.268,20.989,-209
8.63,73.267,20.989,-209
8.644,73.267,20.989,-209
8.658,73.267,20.989,-209
8.672,73.267,20.989,-209
8.686,73.266,20.989,-209
8.7,73.266,20.989,-209
8.714,73.266,20.989,-209
8.728,73.266,20.989,-247
8.742,73.265,20.989,-247
8.756,73.265,20.989,-247
8.77,73.265,20.988,-247
8.784,73.265,20.988,-247
8.798,73.264,20.988,-247
8.812,73.264,20.988,-247
8.826,73.264,20.988,-247
8.84,73.264,20.988,-247
8.854,73.263,20.988,-247
8.868,73.263,20.988,-247
8.882,73.263,20.988,-247
8.896,73.263,20.988,-247
8.91,73.262,20.988,-247
8.924,73.262,20.988,-247
8.938,73.262,20.988,-247
8.952,73.262,20.988,-247
8.966,73.261,20.988,-247
8.98,73.261,20.988,-247
8.994,73.261,20.988,-247
9.008,73.261,20.988,-247
9.022,73.26,20.988,-247
9.036,73.26,20.988,-247
9.05,73.26,20.988,-247
9.064,73.26,20.988,-247
9.078,73.259,20.988,-247
9.092,73.259,20.988,-247
9.106,73.259,20.988,-247
9.12,73.259,20.988,-247
9.134,73.258,20.988,-247
9.148,73.258,20.988,-247
9.162,73.258,20.988,-247
9.176,73.258,20.987,-274
9.19,73.257,20.987,-274
9.204,73.257,20.987,-274
9.218,73.257,20.987,-274
9.232,73.257,20.987,-274
9.246,73.256,20.987,-274
9.26,73.256,20.987,-274
9.274,73.256,20.987,-274
9.288,73.256,20.987,-274
9.302,73.255,20.987,-274
9.316,73.255,20.987,-274
9.329,73.255,20.987,-274
9.343,73.255,20.987,-274
9.357,73.254,20.987,-274
9.371,73.254,20.987,-274
9.385,73.254,20.987,-274
9.399,73.254,20.987,-274
9.413,73.253,20.987,-274
9.427,73.253,20.987,-274
9.441,73.253,20.987,-274
9.455,73.253,20.987,-274
9.469,73.252,20.987,-274
9.483,73.252,20.987,-274
9.497,73.252,20.987,-274
9.511,73.252,20.987,-274
9.525,73.251,20.987,-274
9.539,73.251,20.987,-274
9.553,73.251,20.987,-274
9.567,73.251,20.987,-274
9.581,73.25,20.987,-274
9.595,73.25,20.986,-274
9.609,73.25,20.986,-294
9.623,73.25,20.986,-294
9.637,73.249,20.986,-294
9.651,73.249,20.986,-294
9.665,73.249,20.986,-294
9.679,73.249,20.986,-294
9.693,73.248,20.986,-294
9.707,73.248,20.986,-294
9.721,73.248,20.986,-294
9.735,73.248,20.986,-294
9.749,73.247,20.986,-294
9.763,73.247,20.986,-294
9.777,73.247,20.986,-294
9.791,73.247,20.986,-294
9.805,73.246,20.986,-294
9.819,73.246,20.986,-294
9.833,73.246,20.986,-294
9.847,73.246,20.986,-294
9.861,73.245,20.986,-294
9.876,73.245,20.986,-294
9.891,73.245,20.985,-294
9.906,73.245,20.985,-294
9.921,73.245,20.985,-294
9.936,73.245,20.984,-294
9.951,73.245,20.984,-304
9.966,73.245,20.984,-304
9.981,73.245,20.984,-304
9.996,73.245,20.983,-304
10.011,73.245,20.983,-304
10.025,73.245,20.983,-304
10.04,73.245,20.983,-304
10.055,73.245,20.982,-304
10.07,73.245,20.982,-304
10.085,73.245,20.982,-304
10.1,73.245,20.982,-304
10.115,73.245,20.981,-304
10.13,73.245,20.981,-304
10.145,73.245,20.981,-304
10.16,73.245,20.981,-304
10.175,73.245,20.98,-304
10.19,73.245,20.98,-304
10.205,73.245,20.98,-304
10.22,73.245,20.98,-304
10.235,73.245,20.979,-304
10.25,73.245,20.979,-304
10.265,73.245,20.979,-304
10.28,73.245,20.979,-304
10.294,73.245,20.978,-304
10.309,73.245,20.978,-304
10.324,73.245,20.978,-304
10.339,73.245,20.978,-304
10.354,73.245,20.977,-304
10.369,73.245,20.977,-304
10.384,73.245,20.977,-304
10.399,73.245,20.977,-304
10.414,73.244,20.976,-316
10.429,73.244,20.976,-316
10.444,73.244,20.976,-316
10.459,73.244,20.976,-316
10.474,73.244,20.975,-316
10.489,73.244,20.975,-316
10.504,73.244,20.975,-316
10.519,73.244,20.975,-316
10.534,73.244,20.974,-316
10.549,73.244,20.974,-316
10.564,73.244,20.974,-316
10.578,73.244,20.974,-316
10.593,73.244,20.973,-316
10.608,73.244,20.973,-316
10.623,73.244,20.973,-316
